title,url
Claude Documentation,https://docs.anthropic.com/en/docs/claude-code/overview
Claude Code Starter Template,https://github.com/check-the-vibe/claude-code-starter-template.git
Ink library,https://github.com/vadimdemedes/ink
Creating CLIs with Ink React and magic,https://vadimdemedes.com/posts/creating-clis-with-ink-react-and-a-bit-of-magic
React Ink CLI Tutorial FreeCodeCamp,https://www.freecodecamp.org/news/react-js-ink-cli-tutorial/
Ink UI Components,https://github.com/vadimdemedes/ink-ui
Dev Container metadata reference,https://containers.dev/implementors/json_reference/
VS Code Start Processes in Containers,https://code.visualstudio.com/remote/advancedcontainers/start-processes
Shipping user friendly bash scripts with Dev Container,https://keestalkstech.com/shipping-user-friendly-bash-scripts-with-your-dev-container/
Electron inside Docker with X11 Forwarding,https://stackoverflow.com/questions/42915838/electron-inside-docker-with-x11-forwarding-no-protocol-specified
How to run Electron on Linux on Docker on Mac,https://jaked.org/blog/2021-02-18-How-to-run-Electron-on-Linux-on-Docker-on-Mac
How to run electron app inside docker image,https://stackoverflow.com/questions/60164544/how-to-run-electron-app-inside-docker-image
GitHub - electron-docker X11 forwarding example,https://github.com/anmilleriii/electron-docker
